moravian college	pennsylvania	False
marengo	iowa county	False
the look	album	True
wzrx	fox sports radio	False
labeo	cyprinidae	False
burgemeester	mayor	False
mars	phobos	False
nominate	subspecies	False
hamburg	dresden	False
chemist	seaborg	False
holdfast	saskatchewan	False
rabbit	mammal	False
gadchiroli district	india	False
santander	spain	False
wildebeest	animal	False
circus	magazine	True
jeannie	english	False
origo	album	True
election	hong kong	False
bedworth	warwickshire	False
kennedy space center	merritt island	False
nagar haveli	india	False
baldwin	archbishop	False
kroger	ohio	False
group	cloud	False
leslieville	canada	False
defiance county	ohio	False
calotropis	plant	False
methana	peninsula	True
kniphofia	genus	False
chinawal	india	False
scordia	sicily	False
wuzhong district	suzhou	False
ebony	diospyros	False
aesthetics	philosophy	True
anne boleyn	henry viii	False
craig county	oklahoma	False
hammersmith bridge	london	False
nova	album	True
elvis	film	True
scream	kelis	False
collinwood	cleveland	False
disclosure	washington	False
cudworth	saskatchewan	False
batticaloa	sri lanka	False
oxyrrhis	dinoflagellate	False
tammela	finland	False
maserati	automobile	False
nowsud	paveh county	False
national railway museum	york	False
bustard	species	True
encantado	album	True
ormoc	leyte	False
nola	film	True
media	delaware county	False
top gear	jeremy clarkson	False
ardingly	west sussex	False
soundelux	company	True
cogniview	company	True
orestes	edistus	False
mutilation	album	True
mercado	puerto rico	False
darkness	book	True
emigrants	emigration	False
dine alone records	canada	False
leminda	genus	False
thing	variation	False
loop	japan	False
warangal	india	False
don quixote	film	True
measure	time interval	False
pinto	spain	False
appearance	impression	False
zarechny	russia	False
adlersberg	harz	False
biswaprakash	film	True
clone	comedy	False
ixmiquilpan	mexico	False
rome	peter	False
wccs	pennsylvania	False
heater	defroster	False
peacock	species	True
subway	album	True
yonezawa	japan	False
kiefhoek	rotterdam	False
affinity	film	True
panorama	work	True
sundarakanda	telugu	False
stars	crash	False
strand	london	False
killer	gold	False
hedeyli	hayrabolu	False
kwame nkrumah	ghana	False
draria	algeria	False
pseudohaje	genus	False
okfuskee county	oklahoma	False
distortion	green	False
miraflores	peru	False
sidoarjo	indonesia	False
modulate	album	True
class	placodermi	False
moose creek	river	True
death valley	california	False
appsense	company	True
quest	film	True
kanegasaki	japan	False
snow hill island	antarctica	False
eucomis	genus	False
earlsfield	london	False
baldwin	italy	False
gerard	male	False
pygeum	genus	False
metal	album	True
title	rubric	False
zuidbroek	netherlands	False
salina cruz	oaxaca	False
brande	denmark	False
exton	pennsylvania	False
opera	italy	False
brigadoon	film	True
almas	tocantins	False
the nova saints	northern star records	False
mangalore	india	False
navi mumbai	india	False
churchill hospital	oxford	False
tottenham	town	True
standarte	regiment	False
amphiglossa	genus	False
alectia	virum	False
ashfield	hamlet	True
ouadhia	tizi ouzou province	False
biduk	birjand county	False
george williams college	aurora university	False
daevid allen	gong	False
wheel	force	True
shoebill	bird	False
metal	zinc	False
haircut	film	True
livingston county	missouri	False
sakhrai	thailand	False
nonino	company	True
spain	asturias	False
rebel	lecrae	False
malacothrix	flowering plant	False
mark antony	suicide	False
paul castellano	boss	False
manvi	india	False
kigoma	tanzania	False
sepsidae	family	False
balls	guttermouth	False
pawling	new york	False
kumasi	ghana	False
kiss	book	True
mosman	australia	False
badfinger	album	True
grand prix	film	True
fritillaria	plant	False
fiat	company	True
gold	cher	False
hadfield	this world fair	False
tesco	company	True
henry county	illinois	False
the killers	album	True
starstruck	film	True
marhaura	saran district	False
brazatortas	spain	False
leda	swan	False
peter	rome	False
waldberg	windigsteig	False
dereham	town	True
turriff	scotland	False
bonia	bamboo	False
thulabharam	film	True
uttar pradesh	uttarakhand	False
velocities	velocity	False
anjuman	urdu	False
korea	kimchi	False
score	film	True
glanville	calvados	False
trimulgherry	secunderabad	False
the fame	album	True
rezaabad	saveh county	False
strays	film	True
print	line	False
symbol	sign	True
performer	artiste	False
jugtail	jughead	False
waok	atlanta	False
carrara	italy	False
valete	portugal	False
agreement	unanimity	False
clearwater	washington	False
regina	mexico	False
nazareth college	new york	False
radix	genus	False
anuraag	film	True
phaedra	suicide	False
romsey	hampshire	False
collegeville	pennsylvania	False
dubbo	australia	False
ugetsu	film	True
the message	book	True
dictyonema	genus	False
idjwi	island	True
demosthenes	politician	False
sabzevar	razavi khorasan province	False
bacacay	albay	False
babs	film	True
sisyphus	dialogue	False
steve stevens	guitar	False
customer	inc.	False
anda	philippines	False
zhubei	hsinchu county	False
liuhe	town	True
manistee county	michigan	False
kobylin	krotoszyn county	False
alveston	gloucestershire	False
tompoes	tompouce	False
anatoly chubais	russia	False
fissures	film	True
andora	italy	False
tingchim	sikkim	False
bridle	rein	False
sarthe	le mans	False
ripchord	wolverhampton	False
mirror	gackt	False
other	independent	False
affectionately	filly	False
immortal	book	True
naresuan	ekathotsarot	False
ruby	single	True
sylt	nordfriesland	False
calendar	canada	False
sphagnum	moss	False
menswear	fashion	False
peaceville records	snapper music	False
noxubee county	mississippi	False
burrda	company	True
followers	english	False
phillip island	australia	False
supermicro	chassis	False
crossbill	genus	False
queries	query	False
motives	english	False
black	single	True
military science	tactics	False
lancia	genus	False
tadley	hampshire	False
orca	company	True
handelsbanken	stockholm	False
kuha	houston	False
j. gordon melton	religion	False
physicist	landau	False
alpinist	magazine	True
enter	netherlands	False
nagpur district	maharashtra	False
starship	film	True
the d.o.c.	dr. dre	False
f.t.t.w.	album	True
averroes	physics	False
pulmonary	disease	True
pestilence	netherlands	False
rank	english	False
vatapi	badami	False
peltops	bird	False
attention	united states	False
urdu	language	True
spain	andalusia	False
downtown	film	True
monmouthshire	wales	False
namba	japan	False
himself	album	True
ubay	bohol	False
chiller	machine	True
gleierbach	lenne	False
washington	kitsap county	False
woolworths group	administration	False
the other half	english	False
angela	genus	False
google	blogger	False
osterwieck	harz	False
titlagarh	india	False
bryan county	oklahoma	False
beetsterzwaag	netherlands	False
ottawa	bytown	False
class	symphyla	False
grafton	worcester county	False
movement	passage	False
kasai	japan	False
pulver	lifelover	False
duquesne	pennsylvania	False
hygrophoropsis	genus	False
phantom	lee falk	False
blondfire	warner bros. records	False
dengie	essex	False
filmfare	mumbai	False
haridwar	uttarakhand	False
matrimony	marriage	False
amethi	uttar pradesh	False
elster	wittenberg	False
fourplay	chuck loeb	False
impulse	game	False
next	india	False
marehan	somalia	False
grafton	australia	False
auerbach	bavaria	False
ithaca	town	True
ruffe	species	False
burn	tina arena	False
pochinok	russia	False
piper laurie	actress	False
sana	river	True
thunnus	genus	False
thiruvarur	india	False
amaranthaceae	family	False
iruvar	mani ratnam	False
gannat	vichy	False
marsala	sicily	False
walker	english	False
kadhalan	film	True
hammerson	company	True
ambler	pennsylvania	False
route	southern	False
dance	techno	False
litchfield	connecticut	False
triad	the byrds	False
mcnab/braeside	canada	False
anqing	china	False
bustard	family	False
chodel	opole lubelskie county	False
topolovgrad	bulgaria	False
penparcau	ceredigion	False
number	company	True
gelephu	bhutan	False
skagerrak	film	True
constellation	octans	False
kooringal high school	wagga wagga	False
gloria	philippines	False
film	magazine	True
orenburg oblast	russia	False
wolffish	anarhichadidae	False
geoff kresge	tiger army	False
noord	aruba	False
workshop	california	False
basilan	philippines	False
kalli	koonga parish	False
feira de santana	bahia	False
kjmp	oldies	False
interface	surface	True
boise	ada county	False
bohol	balilihan	False
quindim	dessert	True
train	goldfrapp	False
muslim	sufi	False
hijack	album	True
barakovo	bulgaria	False
cham	hamilton	False
scrabster	caithness	False
vikedal	vindafjord	False
macewan university	alberta	False
roerdalen	netherlands	False
maffra	australia	False
empty	album	True
tishma	bangladesh	False
sierra	english	False
jayapura	indonesia	False
ofusato	korea	False
nephilidae	family	False
oakland county	michigan	False
sachin tendulkar	cricketer	False
nephrosis	nephropathy	True
futurama	animation	False
williamsburg	brooklyn	False
utica college	new york	False
vimala college	thrissur	False
bellflower	los angeles county	False
target center	minneapolis	False
membrilla	spain	False
looper	bruce willis	False
amul	india	False
indica gallery	london	False
parmaphorella	fissurellidae	False
browning	montana	False
jafarabad	khoy county	False
raisen district	india	False
continent	gondwanaland	False
candelaria	spain	False
patch	synthesizer	False
military	palau	False
imabari	japan	False
promises	work	True
charleston	west virginia	False
drillbit	film	True
de leon	new york	False
vilyuchinsk	russia	False
victoria park	kingstown	False
hero	comedy	False
rajnandgaon	india	False
kuyedinsky district	russia	False
timbaland	aaliyah	False
measure	scale	False
terrytoons	animation	False
jordan	asia	False
tagliamento	italy	False
maureen mcgovern	album	True
ansaldobreda	company	True
croton	genus	False
l'aigle	orne	False
darien	walworth county	False
cataract	falls	True
connections	canada	False
dookie	album	True
michurinsk	tambov oblast	False
descendents	fat wreck chords	False
singam	hari	False
sunabeda	odisha	False
eudorcas	genus	False
arya	india	False
lynnwood	washington	False
spanish	language	True
maui county	hawaii	False
kolya	film	True
flight	atlanta	False
cerbera	plant	False
essent	netherlands	False
next	jazz	False
quilate	carat	False
honor	star	False
roadkill	film	True
simitli	blagoevgrad province	False
falkirk	scotland	False
mycerinus	genus	False
birzeit university	palestine	False
